pName,pPrice,pRating,pStock
Bread Country Roll,279,3,115
Sausage - Blood Pudding,109,5,96
Sambuca - Opal Nera,149,3,141
Iced Tea Concentrate,285,5,134
Scallops - U - 10,166,5,150
Chick Peas - Dried,191,3,118
Bagel - Sesame Seed Presliced,117,1,97
Wine - Vineland Estate Semi - Dry,193,4,137
"Rice Pilaf, Dry,package",101,1,101
Straws - Cocktale,213,2,94
Wasabi Powder,125,3,84
Sour Cream,94,1,137
"Pepsi, 355 Ml",95,2,131
Pepper - Jalapeno,95,1,140
Tart - Raisin And Pecan,111,5,114
Wine - Magnotta - Cab Sauv,213,1,124
Bread - French Baquette,276,1,105
"Rice Pilaf, Dry,package",263,3,116
"Crab - Claws, 26 - 30",273,3,132
"Salmon - Atlantic, Skin On",321,2,119
Kumquat,123,4,105
"Pasta - Fettuccine, Dry",119,5,137
Tea - Lemon Scented,307,3,106
Dry Ice,231,2,135
Banana,215,1,105
Peppercorns - Pink,109,4,106
Brandy Cherry - Mcguinness,115,3,146
Vaccum Bag 10x13,270,1,148
"Extract - Vanilla,artificial",161,3,107
Straw - Regular,132,1,146
Wine - Magnotta - Cab Sauv,91,4,120
"Apple - Delicious, Golden",201,5,99
Salmon Steak - Cohoe 6 Oz,336,4,111
Pears - Bosc,114,4,143
Bread - Calabrese Baguette,318,1,135
Beef - Diced,304,1,80
Napkin Colour,93,3,139
"Pasta - Lasagna, Dry",337,4,150
Yeast Dry - Fermipan,142,4,134
"Pork - Bacon, Double Smoked",313,3,137
Nantucket - Pomegranate Pear,213,5,137
Isomalt,254,1,130
Foam Cup 6 Oz,251,1,128
Blueberries,328,1,110
Pastry - Carrot Muffin - Mini,297,2,137
Cheese - Brie Roitelet,107,4,132
Chocolate - Unsweetened,303,4,139
Table Cloth 90x90 White,287,2,145
Flour - Semolina,110,2,137
Campari,297,5,114
Cookies Oatmeal Raisin,267,1,98
Godiva White Chocolate,156,2,90
Basil - Thai,286,4,88
"Chocolate - Pistoles, Lactee, Milk",310,2,127
Cookie Chocolate Chip With,280,4,91
Sprouts - Corn,149,2,141
Catfish - Fillets,93,5,109
Longos - Penne With Pesto,77,5,125
"Oil - Truffle, White",311,1,125
"Ham - Smoked, Bone - In",237,1,126
"Oranges - Navel, 72",220,3,106
Relish,249,3,145
Juice Peach Nectar,231,2,83
"Mushroom - Porcini, Dry",246,4,104
